taxonID	nameID	status	remarks
245036	144824	synonym	
439004	144899	synonym	
512923	145608	synonym	
146619	146305	synonym	
251211	146731	synonym	
194524	146927	synonym	
374987	147113	synonym	
488029	147811	synonym	
371143	148203	synonym	
803664	149774	synonym	
823973	150203	synonym	
299117	150224	synonym	
281194	151732	synonym	
120643	142595	synonym	
143180	142630	synonym	
143180	142805	synonym	
228583	143435	synonym	
186550	143683	synonym	
377557	144269	synonym	
118330	152454	synonym	
518038	152498	synonym	
305576	152822	synonym	
152876	153026	synonym	
118331	153091	synonym	
152876	153277	synonym	
263154	154248	synonym	
483170	154691	synonym	
232886	155322	synonym	
208592	155441	synonym	
232886	155536	synonym	
155348	155797	synonym	
371154	155645	synonym	
232886	155710	synonym	
232886	156078	synonym	
270522	157134	synonym	
477274	157866	synonym	
561923	158056	synonym	
157515	158220	synonym	
529656	158247	synonym	
120276	158248	synonym	
262686	158337	synonym	
210870	159594	synonym	
517640	159674	synonym	
517622	159766	synonym	
517629	159930	synonym	
229095	160116	synonym	
232886	161483	synonym	
283598	162075	synonym	
232886	162173	synonym	
281697	162249	synonym	
120643	162351	synonym	
281697	162369	synonym	
252402	162746	synonym	
144581	163166	synonym	
488031	163526	synonym	
259643	163650	synonym	
232886	165873	synonym	
488032	166034	synonym	
152876	166140	synonym	
232886	166235	synonym	
152876	166330	synonym	
374990	166609	synonym	
199322	166699	synonym	
354627	166766	synonym	
232886	166982	synonym	
183964	166902	synonym	
281697	167215	synonym	
232886	167288	synonym	
232886	167325	synonym	
251464	168281	synonym	
551672	168645	synonym	
305576	169048	synonym	
118331	169401	synonym	
551750	170345	synonym	
194605	170467	synonym	
517606	170690	synonym	
517595	170773	synonym	
232886	171038	synonym	
281697	172975	synonym	
203546	173896	synonym	
517650	174084	synonym	
232886	174238	synonym	
563322	174427	synonym	
803661	174433	synonym	
517589	176113	synonym	
232886	176653	synonym	
371155	177065	synonym	
120140	177151	synonym	
232886	177356	synonym	
158434	178385	synonym	
168943	178686	synonym	
455576	178773	synonym	
305576	178852	synonym	
118330	179131	synonym	
179933	179626	synonym	
484612	179668	synonym	
354625	179723	synonym	
179933	179763	synonym	
484610	179825	synonym	
484611	179981	synonym	
484611	180015	synonym	
232886	180515	synonym	
484606	183897	synonym	
484605	183990	synonym	
267684	184113	synonym	
484606	184150	synonym	
179933	184164	synonym	
232886	186210	synonym	
371148	187058	synonym	
374987	187106	synonym	
377557	188808	synonym	
371151	189531	synonym	
125529	190083	synonym	
144793	190361	synonym	
232148	191039	synonym	
125529	191630	synonym	
484609	192596	synonym	
157515	192662	synonym	
273544	192766	synonym	
118330	193291	synonym	
194443	194200	synonym	
194443	194284	synonym	
152876	194286	synonym	
199322	194366	synonym	
569744	194441	synonym	
194605	194375	synonym	
333370	194528	synonym	
289718	194779	synonym	
203564	195710	synonym	
483184	195899	synonym	
203895	197135	synonym	
345017	197352	synonym	
292355	197384	synonym	
345130	197460	synonym	
148358	198118	synonym	
120031	198171	synonym	
251528	198254	synonym	
120031	198310	synonym	
194605	199035	synonym	
169327	199086	synonym	
194605	199143	synonym	
194443	199308	synonym	
456021	199282	synonym	
214713	199764	synonym	
374990	201019	synonym	
488030	201548	synonym	
455576	203473	synonym	
220855	203725	synonym	
120276	203743	synonym	
437105	203935	synonym	
235428	204167	synonym	
483205	203970	synonym	
505703	203978	synonym	
483187	204057	synonym	
288880	204137	synonym	
228583	204292	synonym	
484602	205259	synonym	
823973	205320	synonym	
551844	205593	synonym	
483172	205649	synonym	
551852	205708	synonym	
551842	205832	synonym	
120031	207352	synonym	
257040	208212	synonym	
551843	208718	synonym	
483160	208808	synonym	
483161	209727	synonym	
202730	209966	synonym	
120276	211084	synonym	
359777	211049	synonym	
483157	211114	synonym	
455576	211258	synonym	
442379	211398	synonym	
281412	214822	synonym	
483170	215763	synonym	
168759	215869	synonym	
174622	215935	synonym	
521582	216078	synonym	
333372	216270	synonym	
371160	217718	synonym	
371161	217817	synonym	
535185	217892	synonym	
169244	218360	synonym	
169142	218480	synonym	
157775	218678	synonym	
143180	218730	synonym	
143180	218924	synonym	
228583	218996	synonym	
551750	219064	synonym	
229095	219074	synonym	
483170	219419	synonym	
551672	219779	synonym	
119183	219817	synonym	
334876	219929	synonym	
220062	220003	synonym	
220062	220205	synonym	
122113	259624	synonym	
122113	259625	synonym	
122113	259626	synonym	
122113	259627	synonym	
517583	259923	synonym	
517583	260094	synonym	
232886	260467	synonym	
232886	260468	synonym	
232886	260469	synonym	
125528	260580	synonym	
563322	261556	synonym	
174622	261644	synonym	
158312	262115	synonym	
335902	262461	synonym	
483211	262621	synonym	
292354	262672	synonym	
517589	262828	synonym	
203546	262993	synonym	
232886	263083	synonym	
323065	263692	synonym	
517590	263744	synonym	
536504	263843	synonym	
162965	264059	synonym	
229038	264400	synonym	
264981	264985	synonym	
157515	265521	synonym	
211381	266213	synonym	
131963	266908	synonym	
563332	266912	synonym	
158435	220713	synonym	
125529	220732	synonym	
477288	220933	synonym	
346454	220957	synonym	
483173	221203	synonym	
228583	221227	synonym	
371146	221459	synonym	
143180	221399	synonym	
246455	221593	synonym	
162965	222057	synonym	
257040	222390	synonym	
291342	223189	synonym	
232886	223236	synonym	
365403	223257	synonym	
345141	223300	synonym	
561923	223378	synonym	
344003	223432	synonym	
483198	223621	synonym	
143180	224556	synonym	
823973	224948	synonym	
120694	225006	synonym	
483201	225029	synonym	
483200	225045	synonym	
120554	225069	synonym	
483193	225191	synonym	
483186	225305	synonym	
158434	225345	synonym	
284176	225388	synonym	
483202	225449	synonym	
336032	225593	synonym	
269654	225613	synonym	
561922	226686	synonym	
122113	226854	synonym	
345146	227523	synonym	
456020	227687	synonym	
112571	227696	synonym	
120276	227851	synonym	
345084	227996	synonym	
143180	228264	synonym	
203446	228266	synonym	
224235	228332	synonym	
251973	228395	synonym	
229038	228716	synonym	
221156	228816	synonym	
154284	228821	synonym	
221297	228899	synonym	
251973	229156	synonym	
229672	229610	synonym	
182349	229856	synonym	
371164	230992	synonym	
371163	231390	synonym	
125527	231497	synonym	
194443	232247	synonym	
319195	232256	synonym	
194605	232306	synonym	
374985	232675	synonym	
199322	232472	synonym	
346454	232910	synonym	
143418	233088	synonym	
220259	233178	synonym	
345130	233452	synonym	
176091	233816	synonym	
281697	234903	synonym	
158434	235321	synonym	
374991	236925	synonym	
211310	237150	synonym	
202730	237229	synonym	
323636	239240	synonym	
183964	240139	synonym	
455576	240366	synonym	
354626	240501	synonym	
143418	240555	synonym	
251973	240557	synonym	
823973	242363	synonym	
338946	242512	synonym	
211129	242803	synonym	
259507	244234	synonym	
232886	244434	synonym	
359777	244916	synonym	
371145	245905	synonym	
194443	246601	synonym	
199322	246652	synonym	
299115	247334	synonym	
125533	248215	synonym	
374990	248311	synonym	
371144	248381	synonym	
232886	249803	synonym	
232886	250021	synonym	
232886	250384	synonym	
335892	250461	synonym	
250636	250637	synonym	
250636	250638	synonym	
483184	250672	synonym	
242837	250695	synonym	
162965	250792	synonym	
232886	250846	synonym	
488032	251065	synonym	
251234	251237	synonym	
522134	251386	synonym	
223712	251839	synonym	
154299	251842	synonym	
263554	251905	synonym	
336994	252171	synonym	
371153	252313	synonym	
263154	252416	synonym	
194605	252580	synonym	
229038	252756	synonym	
184268	252880	synonym	
269096	252972	synonym	
228583	253353	synonym	
171076	253412	synonym	
273605	253827	synonym	
194443	253828	synonym	
121106	253891	synonym	
160281	254049	synonym	
365020	254248	synonym	
319377	254763	synonym	
143418	254768	synonym	
319378	254807	synonym	
159903	254963	synonym	
160361	255064	synonym	
232886	255276	synonym	
166515	255357	synonym	
255578	255579	synonym	
517578	255642	synonym	
345338	255691	synonym	
255690	255692	synonym	
235581	255959	synonym	
563322	256394	synonym	
517646	256764	synonym	
484602	257060	synonym	
120643	257430	synonym	
232886	257722	synonym	
232886	257723	synonym	
232886	257724	synonym	
157029	257972	synonym	
102996	258537	synonym	
483210	258794	synonym	
488032	258829	synonym	
823973	258842	synonym	
260970	259258	synonym	
122113	259595	synonym	
122113	259596	synonym	
122113	259617	synonym	
122113	259618	synonym	
122113	259622	synonym	
122113	259623	synonym	
162965	267552	synonym	
517597	268243	synonym	
517596	268163	synonym	
517596	268166	synonym	
252849	268521	synonym	
220062	268813	synonym	
162965	269176	synonym	
162965	269345	synonym	
211033	269390	synonym	
157515	269812	synonym	
335920	269870	synonym	
122113	270161	synonym	
517603	270451	synonym	
517605	270629	synonym	
270758	271435	synonym	
335921	271528	synonym	
237059	271542	synonym	
247703	271568	synonym	
247703	271569	synonym	
232886	272345	synonym	
113939	272418	synonym	
477278	272440	synonym	
518039	272441	synonym	
232886	272559	synonym	
221297	272767	synonym	
484608	272831	synonym	
437175	272951	synonym	
320480	273095	synonym	
807543	273284	synonym	
194605	273395	synonym	
192515	273521	synonym	
273605	273599	synonym	
374990	273608	synonym	
488032	273609	synonym	
374990	273610	synonym	
374990	273611	synonym	
371146	273612	synonym	
194443	273613	synonym	
194443	273614	synonym	
517575	273660	synonym	
551852	274090	synonym	
194320	274518	synonym	
563322	274563	synonym	
281697	274604	synonym	
162965	274898	synonym	
517620	274947	synonym	
807544	275012	synonym	
112571	275138	synonym	
157515	275212	synonym	
345605	275233	synonym	
179933	275997	synonym	
569741	276025	synonym	
292361	276273	synonym	
162965	276400	synonym	
143418	276711	synonym	
551846	277208	synonym	
228583	277454	synonym	
120031	277936	synonym	
270522	278339	synonym	
308458	278384	synonym	
220062	278403	synonym	
162965	278473	synonym	
517634	278624	synonym	
517635	278667	synonym	
220062	279771	synonym	
194443	279692	synonym	
183964	279696	synonym	
232886	279799	synonym	
194443	280038	synonym	
162965	280273	synonym	
823973	280540	synonym	
157515	280651	synonym	
157515	280652	synonym	
157515	280654	synonym	
157515	280659	synonym	
434143	280893	synonym	
517650	281120	synonym	
255275	281150	synonym	
309951	281151	synonym	
255275	281152	synonym	
309951	281153	synonym	
323074	281154	synonym	
150553	281378	synonym	
437175	282367	synonym	
293549	282843	synonym	
550486	283227	synonym	
320480	283627	synonym	
282552	285959	synonym	
346019	286097	synonym	
522187	286255	synonym	
437178	287486	synonym	
437179	287487	synonym	
437176	287488	synonym	
483174	287489	synonym	
437177	287490	synonym	
483161	287492	synonym	
483184	288875	synonym	
288880	288876	synonym	
