ID	citation	title	year	source	doi	link
158099			1891	Bull. Soc. bot. Fr. 36: CLXXI		
158220			1864	Fungi rhenani exsic.: no. 1503		
158111			1890	in Swingle, Trans. Kansas Acad. Sci. 11: 77		
158247			1914	Ann. Bot., Lond. 28: 648		
158248			1868	in Berkeley, J. Linn. Soc., Bot. 10(no. 46): 363 ('1869')		
158434			1886	in Cohn, Krypt.-Fl. Schlesien (Breslau) 3.1(9–16): 236 ('1889')		
158435			1908	Bull. Torrey bot. Club 35: 361		
158312			1863	Annls Sci. Nat., Bot., sér. 4 20: 111		
158337			1904	in Ideta, Lehrb. Pflanzenkr. (Tokyo): 122		
158471			1870	Jb. nassau. Ver. Naturk. 23-24: 67 ('1869-70')		
158544			1891	Syll. fung. (Abellini) 9: 343		
159565			1860	Jb. wiss. Bot. 2: 182		
159594			1860	Jb. wiss. Bot. 2: 182		
159674			1901	Ann. Bot., Lond. 15: 300		
159766			1916	in Falck, Falck. Mykol. Unters. 2(2): 224		
159903			1889	Trudy imperat. Petrograd. Obshch. Estest. 19: 23		
159930			1907	Memoirs of the Dept. Agric. India, Bot. Ser. 1(5): 84		
160116			1857	Contract. Zell.: 20		
160281			1872	Trans. Soc. Nat. Univ. Kazan: 23		
160361			1900	Scripta Bot. Horti Univ. Imper. Petrop. 15: 211 ('1899')		
161483			1912	Bull. Soc. mycol. Fr. 28(1): 72		
162075			1912	Rep. Sugar Exper. Stn, Gov. Formosa 1: 12 ('1911')		
162173			1876	Bulletin of the Bussey Inst. 1: 428		
162249			1873	Herb. myc. oeconom. 1: no. 7		
162301			1918	Annls mycol. 16(1/2): 198		
162351			1881	Bot. Ztg. 39: 578		
162369			1888	in Berlese, De Toni & Fischer, Syll. fung. (Abellini) 7(1): 246		
162413			1916	in Falck, Mykol. Untersuch. Ber. 1: 242		
162441			1888	Bot. Ztg. 46(40): 609		
162569			1887	Botan. Zbl. 29: 318		
162615			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 50		
162746			1909	Bot. Tidsskr. 29: 391		
162766			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 58		
162873			1914	Mycologia 6(6): 292		
162965			1928	Phytopathology 18(10): 874		
163023			1916	in Falck, Mykol. Untersuch. Ber. 1: 242		
163166			1870	Jb. nassau. Ver. Naturk. 23-24: 71 ('1869-70')		
163348			1918	Beih. bot. Zbl., Abt. 1 35: 522		
163497			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 49		
163526			1918	Beih. Botan. Centralbl., Abt. 2 35(1): 522		
163650			1869	Mitt. naturf. Ges. Bern 654-683: 63 ('1868')		
163707			1909	Anal. Mus. nac. B. Aires, Ser. 3 12: 282		
163794			1858	in Rabenhorst, Klotzschii Herb. Viv. Mycol., Edn Nov, Ser. Sec., Cent. 7: no. 673		
163891			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 162		
165873			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 234		
165983			1866	Fungi rhenani exsic., suppl., fasc.: no. 1508		
166001			1925	Bull. trimest. Soc. mycol. Fr. 41(3): 390		
166034			1918	Beih. bot. Zbl., Abt. 1 35: 521		
166140			1911	C. r. hebd. Séanc. Acad. Sci., Paris 152: 206		
166212			1918	Beih. bot. Zbl., Abt. 1 35: 522		
166235			1918	Svensk bot. Tidskr. 12: 444		
166330			1914	Ann. Bot., Lond. 28: 232		
