ID	parentID	nameID	provisional	accordingTo	accordingToID	accordingToDate	referenceID	fossil	recent	lifezone	link	kingdom	phylum	class	order	family	genus	species
107762		107762	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=107762	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Bremia	leibnitziae
108372		108372	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=108372	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Plasmopara	elsholtziae
109309		109309	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=109309	Chromista	Oomycota	Peronosporea	Saprolegniales	Saprolegniaceae	Protoachlya	oryzae
110589		110589	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=110589	Chromista	Oomycota	Peronosporea	Saprolegniales	Saprolegniaceae	Couchia	circumplexa
111092		111092	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=111092	Chromista	Cercozoa	Phytomyxea	Plasmodiophorida	Plasmodiophoridae	Woronina	leptolegniae
111511		111511	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=111511	Chromista	Oomycota	Peronosporea	Haptoglossales	Haptoglossaceae	Haptoglossa	humicola
111897		111897	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=111897	Chromista	Oomycota	Hyphochytrea	Hyphochytriales	Rhizidiomycetaceae	Rhizidiomyces	bullatus
112103		112103	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=112103	Chromista	Oomycota	Peronosporea	Albuginales	Albuginaceae	Albugo	eomeconis
112348		112348	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=112348	Chromista	Oomycota	Peronosporea	Haptoglossales	Haptoglossaceae	Haptoglossa	mirabilis
112530		112530	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=112530	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	capsici
112569		112569	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=112569	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Phytophthora	insolita
112571		112571	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=112571	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Plasmopara	portoricensis
112597		112597	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=112597	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Pseudoperonospora	aethionematis
112598		112598	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=112598	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Pseudoperonospora	cassiae
112623		112623	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=112623	Chromista	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriidae	Schizochytrium	minutum
113124		113124	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=113124	Chromista	Oomycota	Peronosporea	Albuginales	Albuginaceae	Albugo	lepidii
113629		113629	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=113629	Chromista	Oomycota	Peronosporea	Leptomitales	Leptolegniellaceae	Nematophthora	gynophila
113713		113713	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=113713	Chromista	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriidae	Thraustochytrium	benthicola
113783		113783	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=113783	Chromista	Oomycota	Peronosporea	Incertae sedis	Incertae sedis	Haliphthoros	philippinensis
113938		113938	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=113938	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronosclerospora	heteropogonis
113939		113939	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=113939	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronosclerospora	noblei
114109		114109	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=114109	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Plasmopara	achyranthis
114135		114135	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=114135	Chromista	Oomycota	Peronosporea	Peronosporales	Pontismataceae	Petersenia	palmariae
115323		115323	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=115323	Chromista	Oomycota	Peronosporea	Saprolegniales	Saprolegniaceae	Scoliolegnia	centrica
118330		118330	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=118330	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronosclerospora	maydis
118331		118331	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=118331	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronosclerospora	philippinensis
118727		118727	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=118727	Chromista	Oomycota	Peronosporea	Saprolegniales	Leptolegniaceae	Aphanomyces	astaci
118873		118873	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=118873	Chromista	Oomycota	Peronosporea	Saprolegniales	Saprolegniaceae	Achlya	colorata
118947		118947	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=118947	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	dipsaci
119045		119045	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=119045	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium	graminicola
119059		119059	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=119059	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	hariotii
119183		119183	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=119183	Chromista	Oomycota	Peronosporea	Albuginales	Albuginaceae	Albugo	lepigoni
119821		119821	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=119821	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	alchemillae
120031		120031	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=120031	Chromista	Oomycota	Peronosporea	Leptomitales	Leptomitaceae	Apodachlya	brachynema
120140		120140	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=120140	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Pseudoperonospora	celtidis
120152		120152	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=120152	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	chrysosplenii
120276		120276	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=120276	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Pseudoperonospora	cubensis
120475		120475	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=120475	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium	flavoense
120554		120554	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=120554	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Plasmopara	gonolobi
