taxonID	nameID	status	remarks
189687	100063	synonym	
274545	100065	synonym	
318264	100066	synonym	
564756	100071	synonym	
141000	100073	synonym	
189722	100074	synonym	
482221	100123	synonym	
249710	100127	synonym	
554877	100131	synonym	
381123	100132	synonym	
186938	100134	synonym	
519594	100137	synonym	
464553	100139	synonym	
247447	100141	synonym	
212694	100142	synonym	
183397	100144	synonym	
323723	100147	synonym	
414935	100153	synonym	
334675	100154	synonym	
328509	100156	synonym	
224078	100157	synonym	
328307	100158	synonym	
144214	100162	synonym	
235086	100165	synonym	
328303	100170	synonym	
824467	100171	synonym	
528389	100173	synonym	
354626	100182	synonym	
362688	100183	synonym	
120212	100186	synonym	
170081	100190	synonym	
338298	100192	synonym	
233978	100193	synonym	
284178	100194	synonym	
230094	100196	synonym	
177575	100197	synonym	
140643	100199	synonym	
119491	100201	synonym	
180995	100211	synonym	
289555	100213	synonym	
446680	100215	synonym	
336640	100218	synonym	
219624	100220	synonym	
334280	100221	synonym	
193363	100222	synonym	
446679	100224	synonym	
297804	100225	synonym	
200747	100226	synonym	
809017	100227	synonym	
219478	100230	synonym	
130219	100237	synonym	
235086	100239	synonym	
313240	100246	synonym	
157968	100252	synonym	
130203	100253	synonym	
250957	100255	synonym	
822026	100257	synonym	
198877	100260	synonym	
256881	100261	synonym	
276912	100263	synonym	
161688	100266	synonym	
210891	100270	synonym	
300993	100275	synonym	
237944	100276	synonym	
244351	100279	synonym	
242488	100280	synonym	
519446	100284	synonym	
215539	100291	synonym	
359867	100292	synonym	
621692	100295	synonym	
153954	100296	synonym	
207511	100297	synonym	
234499	100299	synonym	
132674	100303	synonym	
338300	100304	synonym	
165246	100310	synonym	
515336	100314	synonym	
265228	100317	synonym	
176231	100318	synonym	
226517	100319	synonym	
178390	100321	synonym	
220450	100322	synonym	
224656	100323	synonym	
233461	100324	synonym	
365160	100327	synonym	
357895	100334	synonym	
188594	100337	synonym	
202542	100338	synonym	
292769	100342	synonym	
414952	100347	synonym	
237869	100348	synonym	
822028	100349	synonym	
183306	100354	synonym	
334493	100358	synonym	
623236	100360	synonym	
294876	100361	synonym	
297894	100365	synonym	
261811	100371	synonym	
551426	100372	synonym	
230094	100380	synonym	
121590	100385	synonym	
