taxonID	nameID	status	remarks
438869	100055	synonym	
111379	100122	synonym	
494951	100125	synonym	
245089	100129	synonym	
107334	100159	synonym	
298796	100166	synonym	
255241	100169	synonym	
238762	100172	synonym	
508223	100178	synonym	
161267	100185	synonym	
232527	100195	synonym	
122972	100203	synonym	
299736	100208	synonym	
218088	100209	synonym	
356882	100212	synonym	
228153	100229	synonym	
315896	100231	synonym	
318990	100233	synonym	
499413	100234	synonym	
292101	100236	synonym	
339833	100245	synonym	
317068	100248	synonym	
287854	100262	synonym	
584350	100278	synonym	
253483	100281	synonym	
271749	100282	synonym	
299736	100283	synonym	
334135	100286	synonym	
200530	100288	synonym	
242750	100300	synonym	
287763	100306	synonym	
216300	100315	synonym	
339833	100320	synonym	
297691	100328	synonym	
468971	100336	synonym	
253681	100344	synonym	
554098	100345	synonym	
196024	100352	synonym	
305939	100368	synonym	
131594	100370	synonym	
268547	100373	synonym	
324697	100379	synonym	
180581	100381	synonym	
356852	100383	synonym	
285485	100384	synonym	
121037	100389	synonym	
122737	100395	synonym	
292495	100397	synonym	
291278	100401	synonym	
102402	100402	synonym	
291007	100415	synonym	
354753	100417	synonym	
186063	100424	synonym	
244397	100429	synonym	
195919	100431	synonym	
195178	100432	synonym	
812658	100433	synonym	
312968	100441	synonym	
105299	100442	synonym	
144769	100443	synonym	
174712	100459	synonym	
109935	100462	synonym	
563000	100472	synonym	
168892	100474	synonym	
176119	100481	synonym	
287558	100485	synonym	
255174	100486	synonym	
109679	100488	synonym	
503645	100490	synonym	
129835	100491	synonym	
203527	100492	synonym	
256676	100493	synonym	
415195	100494	synonym	
827300	100495	synonym	
123150	100511	synonym	
310461	100515	synonym	
291277	100517	synonym	
560457	100528	synonym	
331141	100536	synonym	
289338	100542	synonym	
374958	100562	synonym	
102623	100563	synonym	
818399	100564	synonym	
293580	100575	synonym	
321835	100577	synonym	
176119	100578	synonym	
312553	100585	synonym	
445571	100586	synonym	
116141	100587	synonym	
356530	100609	synonym	
319728	100617	synonym	
226879	100627	synonym	
316466	100630	synonym	
205504	100632	synonym	
168636	100633	synonym	
240925	100635	synonym	
287907	100636	synonym	
276056	100643	synonym	
324693	100644	synonym	
505731	100659	synonym	
305939	100661	synonym	
232027	100672	synonym	
248886	100675	synonym	
252705	100707	synonym	
812042	100709	synonym	
356530	100710	synonym	
322837	100726	synonym	
330940	100731	synonym	
271072	100743	synonym	
318498	100746	synonym	
510849	100747	synonym	
109768	100750	synonym	
324867	100751	synonym	
431854	100752	synonym	
431864	100754	synonym	
324872	100756	synonym	
522061	100757	synonym	
204017	100760	synonym	
537582	100762	synonym	
297626	100763	synonym	
271072	100764	synonym	
133022	100767	synonym	
311816	100768	synonym	
271072	100769	synonym	
324810	100770	synonym	
451329	100771	synonym	
319152	100772	synonym	
122972	100774	synonym	
338624	100775	synonym	
340109	100777	synonym	
275074	100778	synonym	
312859	100779	synonym	
312312	100780	synonym	
255241	100781	synonym	
326334	100782	synonym	
561998	100783	synonym	
324872	100784	synonym	
298405	100786	synonym	
531523	100790	synonym	
305993	100791	synonym	
327217	100795	synonym	
543133	100797	synonym	
127496	100801	synonym	
340215	100803	synonym	
825235	100805	synonym	
