nameID	relatedNameID	type	publishedInID	remarks
112762	316961	Orthographic variant		
112941	536208	Orthographic variant		
112947	627545	Orthographic variant		
113005	521850	Orthographic variant		
113006	521849	Orthographic variant		
113007	521836	Orthographic variant		
113163	534666	Orthographic variant		
113197	262373	Orthographic variant		
113200	521800	Orthographic variant		
113201	521803	Orthographic variant		
113274	331346	Orthographic variant		
113288	529645	Orthographic variant		
113329	535379	Orthographic variant		
113455	626882	Orthographic variant		
113465	535099	Orthographic variant		
113468	535834	Orthographic variant		
113521	627523	Orthographic variant		
113644	585305	Orthographic variant		
113792	534173	Orthographic variant		
113890	586909	Orthographic variant		
113905	628599	Orthographic variant		
113906	628600	Orthographic variant		
113910	628602	Orthographic variant		
113911	628603	Orthographic variant		
114043	535448	Orthographic variant		
114091	289817	Orthographic variant		
114105	539390	Orthographic variant		
114138	535256	Orthographic variant		
114260	529404	Orthographic variant		
114261	529406	Orthographic variant		
114273	535702	Orthographic variant		
114318	626641	Orthographic variant		
114483	613814	Orthographic variant		
114366	627364	Orthographic variant		
114536	535205	Orthographic variant		
114553	535203	Orthographic variant		
114560	534703	Orthographic variant		
114575	635918	Orthographic variant		
114594	628458	Orthographic variant		
114626	545699	Orthographic variant		
114628	493548	Orthographic variant		
114639	535457	Orthographic variant		
114651	543238	Orthographic variant		
114789	633499	Orthographic variant		
114839	546452	Orthographic variant		
114902	363105	Orthographic variant		
114911	539230	Orthographic variant		
114927	634005	Orthographic variant		
115045	492492	Orthographic variant		
115138	587505	Orthographic variant		
115164	627522	Orthographic variant		
115334	622148	Orthographic variant		
115355	534970	Orthographic variant		
115550	521808	Orthographic variant		
115571	535433	Orthographic variant		
115706	100274	Orthographic variant		
115814	628476	Orthographic variant		
115820	626883	Orthographic variant		
115902	631507	Orthographic variant		
115907	628296	Orthographic variant		
116137	517306	Orthographic variant		
116145	318837	Orthographic variant		
116153	522130	Orthographic variant		
116161	535293	Orthographic variant		
116436	546480	Orthographic variant		
116537	546366	Orthographic variant		
116538	581574	Orthographic variant		
116541	546365	Orthographic variant		
116590	227765	Orthographic variant		
116600	351940	Orthographic variant		
116626	622262	Orthographic variant		
116660	320322	Orthographic variant		
116692	582636	Orthographic variant		
116694	531455	Orthographic variant		
116737	528912	Orthographic variant		
116845	543219	Orthographic variant		
116846	543217	Orthographic variant		
116868	635630	Orthographic variant		
116890	584843	Orthographic variant		
116894	535798	Orthographic variant		
116896	540098	Orthographic variant		
116917	582772	Orthographic variant		
116954	500449	Orthographic variant		
117131	586986	Orthographic variant		
117143	622736	Orthographic variant		
117340	549604	Orthographic variant		
117343	537152	Orthographic variant		
117018	116823	Orthographic variant		
117067	521759	Orthographic variant		
117146	533538	Orthographic variant		
117160	534584	Orthographic variant		
117205	582923	Orthographic variant		
117228	621990	Orthographic variant		
117358	629782	Orthographic variant		
117435	627044	Orthographic variant		
117436	627045	Orthographic variant		
117445	534585	Orthographic variant		
117446	534575	Orthographic variant		
117453	540099	Orthographic variant		
117461	628395	Orthographic variant		
117476	461494	Orthographic variant		
117529	537097	Orthographic variant		
117577	631969	Orthographic variant		
117647	536837	Orthographic variant		
117651	536659	Orthographic variant		
117656	627773	Orthographic variant		
117717	494035	Orthographic variant		
117842	522258	Orthographic variant		
117969	277923	Orthographic variant		
117865	534182	Orthographic variant		
117874	534580	Orthographic variant		
117886	276891	Orthographic variant		
117898	528914	Orthographic variant		
118043	533532	Orthographic variant		
118044	533533	Orthographic variant		
118152	537220	Orthographic variant		
118243	567057	Orthographic variant		
118266	508259	Orthographic variant		
118308	521548	Orthographic variant		
118322	461506	Orthographic variant		
118337	204195	Orthographic variant		
118363	491500	Orthographic variant		
118499	633796	Orthographic variant		
118535	258114	Orthographic variant		
118639	149894	Orthographic variant		
118640	335064	Orthographic variant		
118664	636009	Orthographic variant		
118669	549528	Orthographic variant		
118682	305071	Orthographic variant		
118683	627733	Orthographic variant		
118685	535757	Orthographic variant		
119003	234428	Orthographic variant		
119005	140835	Orthographic variant		
119012	628758	Orthographic variant		
119026	296718	Orthographic variant		
119027	296839	Orthographic variant		
119030	265844	Orthographic variant		
119039	244572	Orthographic variant		
119040	326492	Orthographic variant		
118697	256842	Orthographic variant		
118701	250717	Orthographic variant		
118709	535565	Orthographic variant		
118717	334717	Orthographic variant		
118726	514518	Orthographic variant		
118741	185935	Orthographic variant		
118744	170533	Orthographic variant		
118753	151393	Orthographic variant		
118771	290149	Orthographic variant		
118788	300485	Orthographic variant		
118794	286185	Orthographic variant		
118796	528895	Orthographic variant		
118820	238506	Orthographic variant		
118823	168423	Orthographic variant		
118832	300507	Orthographic variant		
118833	200853	Orthographic variant		
118837	303093	Orthographic variant		
118838	213947	Orthographic variant		
118840	189809	Orthographic variant		
118845	260539	Orthographic variant		
118850	317122	Orthographic variant		
118852	299068	Orthographic variant		
118853	317123	Orthographic variant		
118862	621897	Orthographic variant		
