taxonID	nameID	status	remarks
492492	115045	orthographic variant	
622148	115334	orthographic variant	
534970	115355	orthographic variant	
535433	115571	orthographic variant	
521808	115550	orthographic variant	
492977	115628	orthographic variant	
100274	115706	orthographic variant	
628476	115814	orthographic variant	
626883	115820	orthographic variant	
631507	115902	orthographic variant	
628296	115907	orthographic variant	
517306	116137	orthographic variant	
318837	116145	orthographic variant	
522130	116153	orthographic variant	
535293	116161	orthographic variant	
546480	116436	orthographic variant	
622262	116626	orthographic variant	
546366	116537	orthographic variant	
581574	116538	orthographic variant	
546365	116541	orthographic variant	
227765	116590	orthographic variant	
351940	116600	orthographic variant	
320322	116660	orthographic variant	
116823	117018	orthographic variant	
582636	116692	orthographic variant	
531455	116694	orthographic variant	
528912	116737	orthographic variant	
543219	116845	orthographic variant	
543217	116846	orthographic variant	
635630	116868	orthographic variant	
584843	116890	orthographic variant	
535798	116894	orthographic variant	
540098	116896	orthographic variant	
582772	116917	orthographic variant	
500449	116954	orthographic variant	
521759	117067	orthographic variant	
534585	117445	orthographic variant	
534575	117446	orthographic variant	
586986	117131	orthographic variant	
622736	117143	orthographic variant	
533538	117146	orthographic variant	
534584	117160	orthographic variant	
582923	117205	orthographic variant	
621990	117228	orthographic variant	
549604	117340	orthographic variant	
537152	117343	orthographic variant	
629782	117358	orthographic variant	
627044	117435	orthographic variant	
627045	117436	orthographic variant	
540099	117453	orthographic variant	
628395	117461	orthographic variant	
536837	117647	orthographic variant	
461494	117476	orthographic variant	
537097	117529	orthographic variant	
631969	117577	orthographic variant	
536659	117651	orthographic variant	
627773	117656	orthographic variant	
494035	117717	orthographic variant	
522258	117842	orthographic variant	
534182	117865	orthographic variant	
534580	117874	orthographic variant	
276891	117886	orthographic variant	
528914	117898	orthographic variant	
277923	117969	orthographic variant	
533532	118043	orthographic variant	
533533	118044	orthographic variant	
537220	118152	orthographic variant	
567057	118243	orthographic variant	
508259	118266	orthographic variant	
630139	118282	orthographic variant	
521548	118308	orthographic variant	
461506	118322	orthographic variant	
204195	118337	orthographic variant	
491500	118363	orthographic variant	
633796	118499	orthographic variant	
258114	118535	orthographic variant	
