ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link
105060	Arthrobotrys ellipsospora	Tubaki & K. Yamanaka							ICN		
105102	Blastobotrys capitulata	de Hoog, Rant.-Leht. & M.T. Sm.							ICN		
105128	Ceriporiopsis carnegiae	(D.V. Baxter) Gilb. & Ryvarden							ICN		
105214	Cuphophyllus colemaniannus	(A. Bloxam) Bon							ICN		
105292	Dixomyces stomanaxi	(Thaxt.) I.I. Tav.							ICN		
105324	Frommeëlla duchesneae	(Arthur) Yohem, Cummins & Gilb.							ICN		
105338	Grammothelopsis incrusta	A. David & Rajchenb.							ICN		
105451	Leptographium dryocoetidis	(W.B. Kendr. & Molnar) M.J. Wingf.							ICN		
105551	Mycosphaerella pongamieae	(Racib.) Sivan.							ICN		
105570	Oligoporus anguliporus	(M.J. Larsen & Lombard) Gilb. & Ryvarden							ICN		
105586	Oligoporus placentus	(Fr.) Gilb. & Ryvarden							ICN		
105687	Phyllactinia ribesii	(Jacz.) Z.Y. Zhao							ICN		
105805	Stachybotrys verrucispora	Matsush.							ICN		
105931	Arthrobotryum hyalospora	G. Okada & Tubaki							ICN		
105999	Cercosporidium helicteretis	Soni, Dadwal & Jamaluddin							ICN		
106037	Corynespora viticus	Y.L. Guo							ICN		
106141	Flaviporus hunuus	(G. Cunn.) Ginns							ICN		
106149	Fomitiporia hippophaëicola	(H. Jahn) Fiasson & Niemelä							ICN		
106163	Gonatobotrys africana	Najim, Clauzet & Kadiri							ICN		
106443	Rhodotorula grinsbergsii	C. Ramírez & A.E. González							ICN		
106445	Rosenscheldia lycopi	Katum. & Y. Harada							ICN		
106521	Trichosporon adeninovorans	Middelhoven, Hoogk. Niet & Kreger-van Rij							ICN		
106529	Uromyces ascotela	(Syd.) Y. Ono							ICN		
106634	Brasiliomyces trina	(Harkn.) R.Y. Zheng							ICN		
106644	Byssosphaeria schiedermayeriana	(Fuckel) M.E. Barr							ICN		
106720	Coriolopsis substuppeus	(Berk. & Cooke) Ryvarden							ICN		
106791	Elsinoë malloti	Sivan. & M.D. Mehrotra							ICN		
106816	Flammulaster albopunctata	Callebaut & Imler							ICN		
106841	Gigaspora erythra	Koske & C. Walker							ICN		
106935	Junghuhnia rhinocephalus	(Berk.) Ryvarden							ICN		
106941	Koorchaloma jamaicensis	Nag Raj							ICN		
107006	Melanoleuca heterocystidia	(Beller & Bon) Bon							ICN		
107072	Ophiostoma dryocoetidis	(W.B. Kendr. & Molnar) de Hoog & R.J. Scheff.							ICN		
107080	Ophiostoma tremuloaureum	(R.W. Davidson & T.E. Hinds) de Hoog & R.J. Scheff.							ICN		
107086	Panaeolus alcidis	M.M. Moser							ICN		
107163	Pichia philodendra	(Van der Walt & D.B. Scott) Kurtzman							ICN		
107208	Psorotichia columaris	Henssen & Büdel							ICN		
107401	Lepista yukatensis	Guzmán & Bon							ICN		
107405	Agaricus cappelli	Bohus & L. Albert							ICN		
107441	Porpidia flavocaerulescens	(Hornem.) Hertel & A.J. Schwab							ICN		
107507	Gonatobotrys primigenia	Casp.							ICN		
107541	Nadvornikia hawaiiensis	(Tuck.) Tibell							ICN		
107624	Flammulaster denticulata	P.D. Orton							ICN		
107657	Psilocybe fasciculare	(Huds.) Kühner							ICN		
107659	Resupinatus petalodes	(Bull.) Kühner							ICN		
107662	Scytinostroma aluta	Lanq.							ICN		
107760	Botryoderma gigaspora	J.N. Kapoor & S.P. Lal							ICN		
107957	Epipolaeum hippophaës	Constant. & Negrean							ICN		
107982	Galerina bresadoliana	Bon							ICN		
108043	Helicoma taiwanensis	Matsush.							ICN		
108234	Morenoina pteridicola	J.P. Ellis							ICN		
108298	Paecilomyces aegyptiacus	S. Ueda & Udagawa							ICN		
108363	Physcia hupehenis	J.D. Zhao, L.W. Hsu & Z.M. Sun							ICN		
108367	Plagiosphaera gleditsiae	(J.H. Mill. & F.A. Wolf) M. Monod							ICN		
108489	Rubinoboletus ballouii	(Peck) Heinem. & Rammeloo							ICN		
108529	Sporidiobolus ruinenii	Holzschu, Tredick & Phaff							ICN		
108581	Syncephalastrum alma-ataënse	Novobr.							ICN		
108584	Thermoascus aegyptiacus	S. Ueda & Udagawa							ICN		
108837	Dendrostilbella aurifilia	(W.R. Gerard) Seifert & J.A. Mackinnon							ICN		
108856	Embellisia telluster	E.G. Simmons							ICN		
108983	Hypholoma chondrodermum	(Berk. & Broome) J.E. Lange							ICN		
108990	Inocybe bresadoliana	Bon							ICN		
109130	Oidium dendrophthoë	(Bhagyan. & Ramachar) Bhagyan. & Ramachar							ICN		
109153	Parmotrema pardi	(Krog & Swinscow) Krog & Swinscow							ICN		
109184	Polyschema chambalensis	I.J. Joshi, R.K.S. Chauhan & S.B. Saksena							ICN		
109305	Phyllosticta samba	Shreem.							ICN		
109478	Ixechinus minus	R. Heim ex E. Horak							ICN		
109479	Ixechinus majus	R. Heim ex E. Horak							ICN		
109497	Entoloma henricii	E. Horak & Aeberh.							ICN		
110173	Bipolaris melinidia	Alcorn							ICN		
110206	Helotium epichloë	(Kühner) Redhead							ICN		
110233	Octaviania cigroensis	Guzmán							ICN		
110322	Fibroporia wynnei	(Berk. & Broome) Bondartseva							ICN		
110430	Phaeoramularia trilobi	(Chupp) X.J. Liu & Y.L. Guo							ICN		
110456	Stilbospora botryosporum	Mont.							ICN		
110549	Climacodon roseomaculatum	(Henn. & E. Nyman) Jülich							ICN		
110641	Entoloma chalybaeum	(Pers.) Noordel.							ICN		
110650	Entoloma lepiotosmus	(Romagn.) Noordel.							ICN		
110670	Erysiphe viciae-urijugae	(Homma) U. Braun							ICN		
110707	Grammothele ochraceus	Ryvarden							ICN		
110788	Loweomyces wynnei	(Berk. & Broome) Jülich							ICN		
